periodo,acx,acy,acz,gx,gy,gz,cantAngle,altitude,
10,-4037,73,2116,6,237,252,0,6204,
10,-4039,87,2121,0,245,-2,0,6204,
10,-4033,86,2118,1,247,254,0,6204,
10,-4037,75,2121,253,0,2,0,6204,
10,-4026,63,2136,-5,5,2,0,6204,
10,-4033,89,2112,-8,3,0,0,6204,
10,-4031,69,2120,-3,12,4,0,6205,
10,-4029,76,2130,254,16,2,0,6205,
10,-4039,73,2119,-4,12,-2,0,6205,
10,-4040,82,2121,0,4,-5,0,6205,
10,-4032,87,2085,1,3,1,0,6205,
10,-4029,84,2103,5,-6,-4,0,6206,
10,-4044,64,2127,3,-15,-4,0,6206,
10,-4030,76,2108,0,-12,-3,0,6206,
10,-4028,85,2112,-6,7,3,0,6207,
10,-4022,79,2121,-2,15,2,0,6207,
10,-4028,84,2112,4,244,1,0,6208,
10,-4036,71,2126,4,244,253,0,6209,
10,-4027,76,2120,4,246,253,0,6209,
10,-4030,81,2112,-2,251,254,0,6210,
10,-4038,79,2126,251,1,0,0,6211,
10,-4031,73,2130,-8,6,0,0,6212,
10,-4023,85,2122,250,9,1,0,6213,
10,-4015,75,2127,253,13,0,0,6215,
10,-4036,79,2131,250,15,-2,0,6216,
10,-4024,75,2120,251,8,1,0,6217,
10,-4023,71,2109,3,7,0,0,6219,
10,-4015,61,2107,3,254,-3,0,6221,
10,-4030,84,2109,0,-13,-3,0,6223,
10,-4032,84,2120,3,245,0,0,6225,
10,-4031,81,2130,0,243,253,0,6227,
10,-4019,70,2136,-3,250,252,0,6229,
10,-4030,72,2120,-4,15,1,0,6231,
10,-4020,72,2111,252,4,2,0,6234,
10,-4022,73,2109,254,7,3,0,6237,
10,-4034,80,2104,251,11,2,0,6239,
10,-4027,81,2115,252,11,2,0,6242,
10,-4022,84,2131,254,12,1,0,6246,
10,-4037,75,2122,253,15,4,0,6249,
10,-4035,85,2103,-2,8,-3,0,6253,
10,-4033,70,2114,0,-3,-3,0,6256,
10,-4043,80,2112,4,-13,-3,0,6260,
10,-4034,81,2096,3,-14,-5,0,6264,
10,-4030,84,2109,4,-13,-3,0,6268,
10,-4035,69,2111,-4,-9,0,0,6273,
10,-4028,82,2130,-4,-2,-2,0,6277,
10,-4027,79,2135,-4,4,0,0,6282,
10,-4036,67,2120,253,13,1,0,6287,
10,-4032,81,2113,-6,15,0,0,6292,
10,-4018,80,2101,-3,12,0,0,6298,
10,-4023,81,2125,2,4,2,0,6303,
10,-4039,82,2113,2,2,-3,0,6309,
10,-4024,75,2124,1,-10,254,0,6315,
10,-4019,79,2114,3,-2,-4,0,6321,
10,-4032,82,2121,4,240,3,0,6328,
10,-4022,75,2127,2,237,252,0,6334,
10,-4024,58,2105,0,240,251,0,6341,
10,-4034,71,2125,3,241,2,0,6348,
10,-4022,87,2110,3,245,-1,0,6355,
10,-4029,84,2106,-1,249,1,0,6363,
10,-4034,67,2117,252,-4,2,0,6371,
10,-4041,74,2096,0,-4,1,0,6379,
10,-4036,80,2116,-5,5,0,0,6387,
10,-4026,72,2126,-7,9,0,0,6395,
10,-4039,81,2112,-2,13,0,0,6404,
10,-4023,72,2111,2,11,0,0,6413,
10,-4031,78,2114,253,7,0,0,6422,
10,-4018,85,2113,4,254,-2,0,6432,
10,-4033,77,2119,-3,4,254,0,6441,
10,-4037,70,2132,251,9,2,0,6451,
10,-4042,78,2112,254,18,0,0,6461,
10,-4034,80,2111,251,9,1,0,6472,
10,-4034,73,2101,-4,8,0,0,6482,
10,-4039,74,2112,1,2,-1,0,6493,
10,-4033,73,2129,5,-5,252,0,6504,
10,-4033,80,2118,3,-8,0,0,6516,
10,-4026,87,2106,3,-12,-5,0,6527,
10,-4036,75,2118,2,-13,-2,0,6539,
10,-4033,79,2113,2,242,0,0,6552,
10,-4020,79,2104,0,-13,0,0,6564,
10,-4031,68,2112,-4,16,0,0,6577,
10,-4033,77,2117,252,8,0,0,6590,
10,-4027,70,2104,2,1,0,0,6603,
10,-4024,80,2118,-14,0,253,0,6617,
10,-4038,65,2118,5,249,253,0,6630,
10,-4033,72,2108,1,243,-3,0,6644,
10,-4030,82,2133,6,243,253,0,6659,
10,-4033,66,2121,1,239,254,0,6673,
10,-4030,76,2129,0,-9,-5,0,6688,
10,-4036,71,2125,0,-7,0,0,6703,
10,-4033,74,2122,-3,8,1,0,6719,
10,-4030,76,2108,-6,3,0,0,6735,
10,-4044,77,2115,-7,10,1,0,6751,
10,-4052,79,2113,-2,7,1,0,6767,
10,-4027,76,2124,254,10,1,0,6783,
10,-4036,80,2111,2,12,2,0,6800,
10,-4045,81,2114,2,1,-2,0,6817,
10,-4026,76,2105,2,246,-3,0,6834,
10,-4018,79,2119,5,-8,-3,0,6852,
10,-4036,91,2129,1,-17,0,0,6870,
10,-4032,77,2127,3,245,253,0,6888,
10,-4035,70,2113,0,239,2,0,6906,
10,-4029,81,2134,1,249,-2,0,6925,
10,-4032,72,2103,-4,250,253,0,6944,
10,-4026,71,2109,-3,254,-2,0,6963,
10,-4023,81,2119,-2,0,1,0,6982,
10,-4028,87,2119,-5,10,0,0,7002,
10,-4022,71,2125,-4,8,2,0,7022,
10,-4029,75,2095,-3,14,3,0,7042,
10,-4029,77,2122,-2,17,1,0,7062,
10,-4036,76,2105,1,11,-1,0,7083,
10,-4024,69,2127,254,14,0,0,7103,
10,-4037,67,2124,252,10,-3,0,7124,
10,-4031,88,2125,250,12,0,0,7146,
10,-4023,80,2124,254,11,2,0,7167,
10,-4034,75,2113,252,14,0,0,7189,
10,-4040,78,2100,252,8,0,0,7211,
10,-4023,63,2100,250,13,3,0,7233,
10,-4030,85,2117,251,14,3,0,7255,
10,-4031,78,2113,-5,14,0,0,7277,
10,-4022,91,2135,-2,7,0,0,7300,
10,-4019,77,2106,0,0,0,0,7322,
10,-4021,84,2130,3,251,-3,0,7345,
10,-4036,87,2116,1,247,-2,0,7369,
10,-4023,58,2136,1,245,2,0,7392,
10,-4015,78,2133,1,242,254,0,7415,
10,-4021,73,2139,0,246,-3,0,7439,
10,-4028,74,2101,-3,253,-2,0,7463,
10,-4037,84,2125,254,7,0,0,7487,
10,-4028,73,2095,-7,6,4,0,7511,
10,-4026,85,2110,253,13,0,0,7535,
10,-4030,70,2105,252,-8,-2,0,7559,
10,-4048,76,2111,1,-11,0,0,7584,
10,-4024,82,2134,-1,-10,-2,0,7609,
10,-4028,81,2121,254,248,1,0,7634,
10,-4026,81,2113,-7,1,3,0,7659,
10,-4027,67,2125,-4,12,1,0,7684,
10,-4030,60,2111,252,17,2,0,7709,
10,-4042,75,2107,2,8,-2,0,7734,
10,-4033,77,2141,0,5,-5,0,7760,
10,-4037,73,2118,4,-5,-2,0,7785,
10,-4030,68,2126,5,-16,1,0,7811,
10,-4028,77,2115,1,-17,-2,0,7837,
10,-4018,71,2116,-4,254,0,0,7863,
10,-4030,70,2115,253,251,254,0,7889,
10,-4033,77,2127,252,5,0,0,7915,
10,-4027,78,2102,251,18,2,0,7942,
10,-4028,83,2118,5,14,-4,0,7968,
10,-4032,85,2104,2,6,254,0,7994,
10,-4035,90,2112,3,-2,0,0,8021,
10,-4023,77,2113,3,-4,253,0,8048,
10,-4033,68,2112,5,-12,0,0,8075,
10,-4029,84,2117,1,243,253,0,8102,
10,-4037,87,2118,-17,241,254,0,8129,
10,-4027,80,2118,-10,252,-3,0,8156,
10,-4033,81,2127,251,246,-4,0,8183,
10,-4016,85,2110,253,252,254,0,8210,
10,-4036,87,2117,0,3,1,0,8238,
10,-4029,79,2091,4,251,-2,0,8265,
10,-4020,76,2119,2,-14,-3,0,8293,
10,-4027,70,2130,0,-8,-3,0,8320,
10,-4034,87,2111,0,-9,-4,0,8348,
10,-4024,82,2125,250,8,3,0,8376,
10,-4033,80,2121,-5,6,4,0,8404,
10,-4029,73,2122,-5,12,0,0,8432,
10,-4027,66,2119,-5,13,-5,0,8460,
10,-4027,86,2129,0,5,2,0,8488,
10,-4018,77,2117,0,1,254,0,8517,
10,-4043,72,2122,2,-2,0,0,8545,
10,-4032,73,2121,3,-5,-2,0,8573,
10,-4035,70,2121,2,247,-1,0,8602,
10,-4036,81,2118,0,246,-2,0,8630,
10,-4041,62,2119,-6,0,0,0,8659,
10,-4019,74,2115,-5,3,2,0,8687,
10,-4034,72,2113,250,3,-1,0,8716,
10,-4045,77,2115,-7,8,1,0,8744,
10,-4033,79,2134,252,18,1,0,8773,
10,-4044,79,2113,-2,9,1,0,8802,
10,-4027,74,2124,3,252,3,0,8830,
10,-4022,68,2108,0,251,254,0,8859,
10,-4026,80,2128,3,246,-3,0,8888,
10,-4040,82,2117,2,245,-3,0,8916,
10,-4025,76,2121,-7,244,-2,0,8945,
10,-4031,89,2125,253,250,0,0,8974,
10,-4040,71,2126,254,254,0,0,9002,
10,-4039,73,2113,253,5,2,0,9031,
10,-4034,78,2121,250,1,1,0,9060,
10,-4038,68,2117,247,8,0,0,9089,
10,-4018,76,2111,250,13,0,0,9117,
10,-4040,82,2127,12,13,0,0,9146,
10,-4033,75,2121,2,3,0,0,9175,
10,-4022,78,2123,2,-2,-3,0,9203,
10,-4032,89,2110,2,-8,-3,0,9232,
10,-4025,79,2111,6,-9,254,0,9261,
10,-4022,86,2130,3,-8,-3,0,9289,
10,-4029,69,2108,0,-18,-3,0,9318,
10,-4024,73,2134,-2,249,-3,0,9347,
10,-4023,77,2123,0,253,0,0,9375,
10,-4033,70,2112,-5,6,253,0,9404,
10,-4033,72,2121,-5,12,1,0,9432,
10,-4034,88,2106,-7,11,2,0,9460,
10,-4041,76,2108,0,18,1,0,9489,
10,-4035,80,2123,0,6,1,0,9517,
10,-4029,80,2126,1,2,-2,0,9545,
10,-4028,75,2110,3,-5,253,0,9574,
10,-4024,84,2115,3,-6,-4,0,9602,
