periodo(ms),ax2_Raw,ay2_Raw,az2_Raw,gx2_Raw,gy2_Raw,gz2_Raw,lastCantAngle(°),altitude(m),
10,4262,1442,823,-167,71,-149,0,6369,
10,4092,-701,-455,-155,0,-48,0,6369,
10,3975,-406,631,-309,-48,-14,0,6369,
10,4292,517,625,-68,-32,-34,0,6369,
10,4237,1075,1374,282,-209,-13,0,6369,
10,4509,288,-750,407,-52,41,0,6369,
10,3854,29,-908,-79,30,83,0,6369,
10,4395,-184,427,-273,30,121,0,6369,
10,5214,537,-823,-328,74,148,0,6369,
10,4650,-44,-491,-305,35,122,0,6369,
10,5117,-97,150,-274,74,118,0,6369,
10,4741,-67,-105,-270,94,119,0,6369,
10,4681,515,-254,-268,92,114,0,6369,
10,4602,85,-271,-242,117,107,0,6369,
10,5296,-161,509,-263,130,144,0,6376,
10,5056,290,-668,-205,133,108,0,6376,
10,4618,-488,-562,-212,129,81,0,6376,
10,4478,110,-268,-229,117,86,0,6376,
10,4497,-111,294,-153,152,103,0,6376,
10,4882,-193,-171,-139,223,78,0,6376,
10,4818,-179,-373,-132,204,70,0,6376,
10,4512,-181,607,-93,199,67,0,6376,
10,5086,256,-422,-94,228,63,0,6376,
10,5401,87,-511,-52,213,57,0,6376,
10,4861,-375,-597,-2,229,48,0,6376,
10,5480,313,-47,-3,243,50,0,6376,
10,5366,76,800,20,223,66,0,6376,
10,5467,-212,-392,34,290,34,0,6376,
10,5432,133,151,79,244,24,0,6376,
10,6401,-76,-584,131,288,35,0,6376,
10,5441,181,-103,125,246,12,0,6392,
10,6094,-438,-798,173,271,-2,0,6392,
10,5486,189,23,179,347,5,0,6392,
10,5905,105,-379,236,317,11,0,6392,
10,6306,-22,481,269,312,-2,0,6392,
10,5734,12,-381,311,279,-15,0,6392,
10,6474,-394,-926,375,282,-20,0,6392,
10,6896,-183,-588,436,206,-35,0,6392,
10,6207,-119,-436,440,276,-50,0,6392,
10,6350,139,-220,455,334,-44,0,6392,
10,6448,-194,-562,549,302,-46,0,6392,
10,5545,89,-265,605,284,-61,0,6392,
10,6030,41,490,702,293,-55,0,6392,
10,6062,-132,-188,803,285,-97,0,6392,
10,6171,-80,-1261,830,312,-109,0,6392,
10,5706,-257,-1075,915,280,-133,0,6422,
10,6000,-171,-983,1007,283,-133,0,6422,
10,6506,-153,-423,1091,254,-140,0,6422,
10,6235,-341,-1573,1155,191,-158,0,6422,
10,5254,-729,-889,1298,258,-144,0,6422,
10,6676,-175,571,1407,180,-163,0,6422,
10,5891,-189,-1186,1461,175,-183,0,6422,
10,5409,-338,-381,1456,154,-174,0,6422,
10,5531,-888,-216,1483,168,-170,0,6422,
