periodo,acx,acy,acz,gx,gy,gz,cantAngle,altitude,
10,-4194,-31,2129,0,-15,-2,0,6204,
10,-4200,-41,2124,-6,-6,0,0,6204,
10,-4188,-40,2112,-8,3,0,0,6204,
10,-4191,-27,2125,-3,11,0,0,6204,
10,-4191,-39,2113,-5,13,2,0,6204,
10,-4191,-33,2125,5,-16,-4,0,6204,
10,-4194,-45,2137,-2,-11,-3,0,6205,
10,-4185,-30,2102,-5,-1,1,0,6205,
10,-4184,-39,2140,0,5,-4,0,6205,
10,-4205,-48,2159,7,16,-2,0,6205,
10,-4195,-48,2135,-12,21,2,0,6205,
10,-4186,-38,2115,-12,16,2,0,6206,
10,-4187,-24,2127,7,9,-2,0,6206,
10,-4197,-40,2112,-4,14,4,0,6206,
10,-4204,-44,2111,-2,21,0,0,6207,
10,-4195,-35,2122,3,11,-4,0,6207,
10,-4204,-52,2128,4,4,1,0,6208,
10,-4189,-29,2121,3,-2,-3,0,6209,
10,-4191,-29,2108,1,-7,-1,0,6209,
10,-4189,-42,2124,4,-14,-4,0,6210,
10,-4190,-36,2111,1,-12,-5,0,6211,
10,-4199,-32,2116,3,-13,-3,0,6212,
10,-4190,-50,2132,-1,-6,-2,0,6213,
10,-4198,-48,2108,-8,5,-1,0,6215,
10,-4200,-22,2120,-7,8,3,0,6216,
10,-4190,-40,2126,-8,14,1,0,6217,
10,-4200,-35,2117,-6,18,0,0,6219,
10,-4180,-35,2108,-5,17,-1,0,6221,
10,-4185,-33,2109,1,8,-5,0,6223,
10,-4180,-41,2130,6,-14,-3,0,6225,
10,-4192,-40,2136,-1,-14,0,0,6227,
10,-4199,-47,2126,2,-13,-3,0,6229,
10,-4196,-37,2108,1,-14,-3,0,6231,
10,-4186,-39,2127,-3,10,0,0,6234,
10,-4196,-48,2136,-8,7,0,0,6237,
10,-4196,-52,2105,-10,9,1,0,6239,
10,-4191,-35,2098,-5,11,0,0,6242,
10,-4199,-41,2104,0,12,-2,0,6246,
10,-4192,-39,2116,-3,16,-1,0,6249,
10,-4194,-29,2115,1,10,0,0,6253,
10,-4201,-101,2103,-28,20,4,0,6256,
10,-4177,21,2097,-17,-3,1,0,6260,
10,-4208,-12,2146,28,-9,-4,0,6264,
10,-4198,-85,2162,2,-5,-4,0,6268,
10,-4202,-29,2124,-12,0,-3,0,6273,
