Alpha,M = 0.1, Alpha,M = 0.15, Alpha,M = 0.20, Alpha,M = 0.25, Alpha,M = 0.3, Alpha,M = 0.35, Alpha,M = 0.40, Alpha,M = 0.45, Alpha,M = 0.50, Alpha,M = 0.55, Alpha,M = 0.60, Alpha,M = 0.65
            0, -2.531181e-08,             0, -1.259152e-09,             0, -2.060153e-09,             0,  7.663489e-09,             0, -4.800168e-09,             0,  5.277987e-09,             0,  1.464099e-08,             0,  1.659451e-08,             0,  1.321002e-08,             0, -1.561986e-08,             0,  4.633677e-08,             0,  7.271186e-08
          0.5,    0.05336856,           0.5,    0.05197851,           0.5,    0.05300915,           0.5,    0.05440566,           0.5,     0.0560157,           0.5,    0.05747399,           0.5,     0.0596154,           0.5,    0.06184587,           0.5,    0.06423096,           0.5,    0.06709305,             1,     0.1413888,           0.5,    0.07531371
            1,     0.1095934,             1,     0.1043777,             1,     0.1062606,             1,     0.1088063,             1,     0.1117403,             1,     0.1151732,             1,     0.1190452,             1,     0.1232425,             1,     0.1283562,             1,      0.134109,           1.5,     0.2120633,             1,     0.1504944
          1.5,     0.1747082,           1.5,     0.1584482,           1.5,     0.1592742,           1.5,     0.1631513,           1.5,     0.1676345,           1.5,     0.1725693,           1.5,     0.1783787,           1.5,     0.1845077,           1.5,     0.1921094,           1.5,     0.2013073,             2,     0.2822235,           1.5,     0.2254249
            2,     0.2484585,             2,     0.2169425,             2,     0.2130569,             2,      0.217171,             2,     0.2233822,             2,     0.2298094,             2,     0.2375287,             2,     0.2459594,             2,     0.2558937,             2,     0.2677847,           2.5,     0.3521419,             2,     0.2999596
          2.5,     0.3284181,           2.5,     0.2828895,           2.5,     0.2697614,           2.5,     0.2714447,           2.5,      0.278641,           2.5,     0.2867767,           2.5,      0.296409,           2.5,     0.3066975,           2.5,     0.3191277,           2.5,     0.3339775,             3,     0.4214698,           2.5,     0.3745662
            3,     0.4086297,             3,     0.3594625,             3,     0.3324803,             3,     0.3277473,             3,     0.3342826,             3,     0.3433214,             3,     0.3546121,             3,     0.3670256,             3,      0.382003,             3,     0.3998485,           3.5,     0.4903472,             3,     0.4483674
          3.5,     0.4907368,           3.5,     0.4362426,           3.5,     0.4043763,           3.5,     0.3915433,             4,     0.4547828,           3.5,     0.4000532,           3.5,     0.4123555,           3.5,     0.4265869,           3.5,     0.4441666,           3.5,     0.4650328,             4,     0.5591603,           3.5,     0.5220625
            4,     0.5423757,             4,     0.5139055,             4,      0.480047,             4,      0.460611,           4.5,     0.5263199,             4,     0.4593919,             4,     0.4703132,             4,     0.4859719,             4,     0.5056881,             4,     0.5298711,           4.5,     0.6279832,             4,     0.5956359
          4.5,     0.5866997,           4.5,     0.5920468,           4.5,     0.5545296,           4.5,     0.5358301,             5,     0.6014356,           4.5,     0.5254672,           4.5,     0.5318925,           4.5,     0.5472143,           4.5,     0.5678517,           4.5,     0.5945058,             5,     0.6974844,           4.5,     0.6698803
            5,     0.6292411,             5,      0.640859,             5,     0.6304044,             5,     0.6109324,           5.5,     0.6766243,             5,     0.5986459,             5,     0.6028902,             5,      0.615099,             5,     0.6346937,             5,     0.6620813,           5.5,     0.7738981,             5,     0.7420268
          5.5,     0.6703083,           5.5,     0.6834801,           5.5,     0.6983266,           5.5,     0.6861598,             6,     0.7521551,           5.5,      0.675942,           5.5,     0.6799388,           5.5,      0.692294,           5.5,     0.7110719,           5.5,      0.737327,             6,     0.8590859,           5.5,     0.8175508
            6,     0.7095906,             6,      0.724891,             6,     0.7409521,             6,     0.7583754,           6.5,     0.8221725,             6,     0.7523905,             6,     0.7587263,             6,     0.7732615,             6,     0.7947088,             6,     0.8224345,           6.5,     0.9446073,             6,     0.8926487
          6.5,     0.7492343,           6.5,     0.7647889,           6.5,     0.7823285,           6.5,     0.8005833,             7,     0.8645686,           6.5,     0.8296842,           6.5,     0.8373246,           6.5,     0.8546737,           6.5,      0.878962,           6.5,      0.911047,             7,     0.9859553,           6.5,     0.9366789
            7,     0.7868269,             7,     0.8046179,             7,     0.8226823,             7,     0.8428036,           7.5,     0.9038797,             7,      0.887212,             7,     0.9158181,             7,      0.936613,             7,     0.9613562,             7,     0.9924001,           7.5,     0.9615623,             7,     0.9030179
          7.5,     0.8236479,           7.5,     0.8423836,           7.5,     0.8640655,           7.5,     0.8841517,             8,     0.9470064,           7.5,     0.9298983,           7.5,     0.9572922,           7.5,     0.9840855,           7.5,      1.011112,           7.5,       1.01576,             8,     0.9355016,           7.5,     0.8738075
            8,       0.86401,             8,     0.8844915,             8,     0.9044956,             8,     0.9216984,           8.5,     0.9857282,             8,      0.969239,             8,     0.9959794,             8,      1.020785,             8,      1.037831,             8,      1.014367,           8.5,     0.9041034,             8,      0.840407
          8.5,     0.9013883,           8.5,     0.9208973,           8.5,     0.9412272,           8.5,     0.9644512,             9,      1.024787,           8.5,      1.007985,           8.5,      1.036257,           8.5,      1.055945,           8.5,      1.056767,           8.5,     0.9999728,             9,     0.8709862,           8.5,     0.8024657
            9,     0.9391834,             9,     0.9610793,             9,     0.9814201,             9,      1.004448,           9.5,      1.067528,             9,      1.050448,             9,       1.07086,             9,      1.077739,             9,      1.051662,             9,     0.9758083,           9.5,     0.8368346,             9,     0.7660229
          9.5,     0.9761726,           9.5,     0.9929225,           9.5,      1.021981,           9.5,      1.040192,            10,      1.104303,           9.5,      1.086625,           9.5,      1.100334,           9.5,      1.088783,           9.5,       1.03614,           9.5,     0.9470347,            10,     0.8036344,           9.5,     0.7344765
           10,       1.01351,            10,      1.031781,            10,      1.051311,            10,      1.080857,          10.5,      1.124464,            10,      1.113169,            10,      1.119331,            10,      1.084472,            10,      1.008982,            10,     0.9108543,          10.5,     0.7730068,            10,     0.7120741
         10.5,      1.046155,          10.5,      1.068133,          10.5,      1.089674,          10.5,      1.117133,            11,      1.144725,          10.5,      1.134004,          10.5,      1.124524,          10.5,       1.06745,          10.5,     0.9755951,          10.5,      0.871785,            11,     0.7397685,          10.5,     0.6970721
           11,      1.073262,            11,      1.088541,            11,      1.120611,            11,        1.1357,          11.5,      1.156185,            11,      1.143452,            11,      1.119647,            11,      1.041126,            11,     0.9377468,            11,     0.8309845,          11.5,     0.7139039,            11,     0.6814663
         11.5,       1.09604,          11.5,      1.111276,          11.5,      1.141792,          11.5,      1.140779,            12,      1.159657,          11.5,      1.144567,          11.5,      1.104708,          11.5,      1.007402,          11.5,     0.8960803,          11.5,     0.7905057,            12,     0.6978069,          11.5,     0.6711099
           12,      1.105863,            12,      1.124459,            12,      1.154323,            12,      1.153119,          12.5,      1.155237,            12,      1.136798,            12,      1.079767,            12,      0.967349,            12,     0.8523544,            12,     0.7532428,          12.5,     0.6919353,            12,     0.6690919
         12.5,      1.108914,          12.5,      1.130219,          12.5,      1.146989,          12.5,      1.156333,            13,      1.141925,          12.5,       1.11931,          12.5,      1.045316,          12.5,     0.9229708,          12.5,      0.806675,          12.5,     0.7277215,            13,     0.6953127,          12.5,     0.6743286
           13,      1.103293,            13,      1.127914,            13,      1.132242,            13,       1.15079,          13.5,      1.118468,            13,      1.091104,            13,      1.002581,            13,      0.874175,            13,     0.7653198,            13,     0.7168743,          13.5,     0.7039605,            13,     0.6857848
         13.5,      1.080985,          13.5,      1.118023,          13.5,      1.124922,          13.5,       1.13564,            14,      1.082443,          13.5,      1.051332,          13.5,     0.9546302,          13.5,     0.8186622,          13.5,     0.7432331,          13.5,     0.7169138,            14,     0.7088333,          13.5,     0.6964446
           14,       1.04414,            14,      1.099765,            14,      1.106609,            14,      1.109479,          14.5,      1.035342,            14,      1.003178,            14,     0.8999791,            14,     0.7718687,            14,     0.7385333,            14,     0.7183113,          14.5,     0.7164773,            14,      0.708313
         14.5,      0.998798,          14.5,      1.068444,          14.5,      1.075381,          14.5,       1.07126,            15,     0.9741282,          14.5,     0.9453807,          14.5,     0.8228998,          14.5,     0.7587426,          14.5,      0.729954,          14.5,     0.7204565,            15,      0.727053,          14.5,     0.7207925
, ,            15,      1.009875,            15,      1.029912,            15,      1.019333, , ,            15,     0.8121398,            15,     0.7801578,            15,     0.7421738,            15,     0.7309256,            15,     0.7249206, , ,            15,     0.7363167
,,,,,,,,,,,,,,,,,,,,,,,
